Location,Cuisines,Average_Cost_for_Two,Rating,Votes,Reviews,Delivery_Time
"Sector 14, Noida","Pizza, Fast Food",200.0,3.0,40.0,8.0,30.0
"Panjetan Colony, Malakpet, Hyderabad","North Indian, Beverages",100.0,2.0,4.0,3.0,30.0
"Babarpur, New Delhi, Delhi","North Indian, Chinese, Continental",450.0,4.0,157.0,80.0,45.0
"Sandhurst Road, Mumbai CST Area",Mithai,200.0,3.0,43.0,17.0,30.0
"Sandhurst Road, Mumbai CST Area",Chinese,200.0,3.0,14.0,9.0,30.0
"Sector 63A,Gurgaon","North Indian, Chinese",150.0,3.0,6.0,5.0,30.0
"FTI College, Law College Road, Pune",Chinese,200.0,3.0,31.0,6.0,30.0
"Dockyard Road, Mumbai CST Area","North Indian, Chinese, Seafood",250.0,3.0,87.0,41.0,30.0
"Babarpur, New Delhi, Delhi","North Indian, Mughlai, Chinese",250.0,3.0,70.0,60.0,30.0
Delhi University-GTB Nagar,North Indian,250.0,3.0,36.0,8.0,65.0
"MG Road, Pune",Fast Food,150.0,3.0,29.0,11.0,30.0
"Delhi High Court, India Gate","Cafe, Beverages, Bakery",200.0,3.0,126.0,51.0,30.0
"Sandhurst Road, Mumbai CST Area","Desserts, Beverages, Healthy Food",200.0,3.0,48.0,19.0,45.0
"Sector 1, Noida",Bakery,150.0,3.0,63.0,26.0,45.0
Mumbai Central,"Desserts, Ice Cream",100.0,3.0,21.0,11.0,30.0
Delhi University-GTB Nagar,"Chinese, Italian, Continental, Momos",250.0,3.0,234.0,85.0,45.0
"Babarpur, New Delhi, Delhi","North Indian, Mughlai, Beverages",150.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","Sandwich, Fast Food",100.0,3.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area","Italian, Fast Food, Mexican, Chinese",350.0,3.0,1719.0,664.0,45.0
"D-Block, Sector 63, Noida","Bakery, Desserts",200.0,3.0,57.0,12.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Chinese, North Indian",150.0,3.0,15.0,3.0,30.0
"MG Road, Pune","North Indian, Biryani, Lebanese",300.0,3.0,8.0,3.0,30.0
"Sector 3, Marathalli","Andhra, Biryani, South Indian",150.0,3.0,136.0,61.0,30.0
Pune University,"Korean, Japanese, Asian",500.0,4.0,71.0,28.0,30.0
"Sandhurst Road, Mumbai CST Area",Sandwich,100.0,3.0,44.0,4.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Ice Cream,100.0,3.0,28.0,16.0,30.0
Majestic,"Healthy Food, North Indian, Biryani, Continental, Beverages",200.0,4.0,476.0,105.0,30.0
"D-Block, Sector 63, Noida","North Indian, Mughlai, Chinese",200.0,3.0,63.0,26.0,65.0
Delhi Cantt.,Bengali,100.0,3.0,63.0,26.0,30.0
Delhi Cantt.,Street Food,100.0,3.0,20.0,1.0,30.0
"Yerawada, Pune, Maharashtra","Pizza, Italian, Cafe",300.0,4.0,876.0,364.0,65.0
"D-Block, Sector 63, Noida","North Indian, Rolls, Chinese",200.0,3.0,22.0,12.0,30.0
"Sector 14, Noida","Rolls, Kebab, Beverages",200.0,3.0,93.0,46.0,65.0
Delhi University-GTB Nagar,Mughlai,100.0,3.0,5.0,26.0,30.0
Mumbai Central,"Continental, Italian, Mexican, North Indian",450.0,3.0,1199.0,582.0,65.0
"FTI College, Law College Road, Pune","Fast Food, Burger",100.0,3.0,63.0,26.0,30.0
"MG Road, Pune",Rolls,100.0,3.0,94.0,15.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese",250.0,3.0,48.0,23.0,45.0
"Sector 14, Noida","Mithai, North Indian, South Indian, Street Food, Chinese",150.0,3.0,206.0,55.0,45.0
Majestic,South Indian,100.0,3.0,63.0,26.0,30.0
"MG Road, Pune","Street Food, Fast Food, Beverages",200.0,3.0,150.0,64.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese",200.0,3.0,104.0,28.0,45.0
"D-Block, Sector 63, Noida","Desserts, Burger, Beverages, Fast Food, Cafe, Bakery",250.0,4.0,524.0,237.0,45.0
"Rmz Centennial, I Gate, Whitefield",Burger,150.0,3.0,26.0,16.0,65.0
"Sandhurst Road, Mumbai CST Area","Continental, Fast Food, Beverages",600.0,3.0,644.0,341.0,30.0
"Dockyard Road, Mumbai CST Area",Fast Food,150.0,3.0,106.0,16.0,30.0
"Jaya Nagar, Saidabad, Hyderabad","Fast Food, North Indian, Biryani, Rolls, Wraps",250.0,3.0,41.0,30.0,30.0
"FTI College, Law College Road, Pune","North Indian, Chinese, Fast Food, Pizza, Juices",200.0,3.0,109.0,55.0,45.0
"Delhi Administration Flats, Timarpur","North Indian, Chinese",200.0,2.0,33.0,5.0,45.0
"MG Road, Pune","North Indian, Chinese",150.0,3.0,63.0,26.0,30.0
Delhi University-GTB Nagar,"Cafe, Fast Food, North Indian, Italian",350.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","Bakery, Desserts, Ice Cream",150.0,4.0,77.0,45.0,45.0
"Rmz Centennial, I Gate, Whitefield","Pizza, Beverages",350.0,3.0,56.0,29.0,30.0
"Sector 1, Noida","Raw Meats, North Indian, Fast Food",200.0,3.0,60.0,31.0,30.0
"D-Block, Sector 63, Noida",Ice Cream,100.0,3.0,63.0,26.0,30.0
Mumbai Central,Fast Food,100.0,3.0,63.0,26.0,30.0
"Delhi High Court, India Gate","Fast Food, Desserts",100.0,3.0,63.0,26.0,30.0
"Sector 14, Noida","North Indian, Chinese",250.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Biryani, Andhra, North Indian, Seafood",250.0,4.0,7661.0,2724.0,30.0
"Sector 63A,Gurgaon","North Indian, Rolls",250.0,3.0,250.0,89.0,65.0
"Sandhurst Road, Mumbai CST Area","Fast Food, Chinese",100.0,3.0,6.0,2.0,30.0
"Delhi Administration Flats, Timarpur","North Indian, Mughlai, Chinese",300.0,3.0,313.0,50.0,30.0
"Yerawada, Pune, Maharashtra",Ice Cream,100.0,3.0,47.0,26.0,65.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Fast Food, Ice Cream, Desserts",250.0,3.0,396.0,169.0,45.0
"Rmz Centennial, I Gate, Whitefield",Chinese,100.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Fast Food, Chinese",300.0,3.0,63.0,26.0,30.0
"Dockyard Road, Mumbai CST Area","Burger, Fast Food",200.0,3.0,406.0,111.0,30.0
Majestic,"Cafe, Desserts, Beverages",250.0,3.0,37.0,12.0,45.0
Delhi University-GTB Nagar,"North Indian, Chinese",200.0,3.0,63.0,26.0,30.0
"Delhi High Court, India Gate","North Indian, South Indian, Chinese, Beverages, Continental",150.0,4.0,168.0,84.0,30.0
"D-Block, Sector 63, Noida","Beverages, Desserts",250.0,2.0,23.0,17.0,30.0
"D-Block, Sector 63, Noida","Ice Cream, Beverages",100.0,3.0,9.0,7.0,30.0
"Delhi High Court, India Gate",North Indian,150.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Mughlai, Chinese, Biryani",300.0,3.0,66.0,25.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Burger, Fast Food",100.0,3.0,49.0,22.0,30.0
"FTI College, Law College Road, Pune",Fast Food,200.0,3.0,105.0,58.0,30.0
"Sandhurst Road, Mumbai CST Area",Mithai,200.0,3.0,12.0,3.0,30.0
"Musi Nagar, Malakpet, Hyderabad",Mithai,100.0,4.0,551.0,24.0,30.0
"Delhi High Court, India Gate","Wraps, Healthy Food, Sandwich, Salad",150.0,3.0,264.0,131.0,65.0
Mumbai Central,"Salad, Beverages, Healthy Food, Desserts",200.0,3.0,36.0,24.0,65.0
"Sector 1, Noida",Bakery,200.0,3.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida","Chinese, North Indian",250.0,3.0,63.0,26.0,45.0
Delhi University-GTB Nagar,"Continental, Pizza, Italian",250.0,3.0,297.0,145.0,45.0
"Moulali, Kolkata","North Indian, Bengali, Fast Food",200.0,3.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area",Fast Food,100.0,3.0,12.0,7.0,30.0
Delhi University-GTB Nagar,"North Indian, Chinese, Fast Food",400.0,4.0,2261.0,1317.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Continental, Chinese, Thai, Italian, BBQ, Steak",450.0,4.0,1444.0,675.0,45.0
"Sector 63A,Gurgaon","Pizza, Fast Food",300.0,3.0,530.0,165.0,45.0
"Sector 14, Noida","North Indian, Chinese, Mughlai, Biryani",550.0,4.0,2058.0,1538.0,65.0
Delhi Cantt.,"Ice Cream, Fast Food",150.0,3.0,24.0,12.0,30.0
"Sector 14, Noida","Chinese, North Indian, Street Food, Fast Food, South Indian",150.0,3.0,49.0,12.0,30.0
"D-Block, Sector 63, Noida",Fast Food,100.0,4.0,394.0,207.0,45.0
"Raja Bazar, Kolkata","Biryani, Mughlai",100.0,3.0,353.0,53.0,30.0
"Sector 1, Noida","Burger, Fast Food, Beverages",150.0,4.0,152.0,90.0,30.0
"Gora Bazar, Rajbari, North Dumdum, Kolkata","Rolls, Fast Food",100.0,3.0,8.0,4.0,30.0
"Yerawada, Pune, Maharashtra","North Indian, Continental, Italian",600.0,4.0,417.0,247.0,30.0
"D-Block, Sector 63, Noida","Pizza, Fast Food",250.0,3.0,13.0,5.0,30.0
"Sandhurst Road, Mumbai CST Area","Cafe, Fast Food, Continental",200.0,3.0,94.0,39.0,45.0
"Sandhurst Road, Mumbai CST Area","Lebanese, Fast Food",150.0,3.0,9.0,5.0,30.0
"Delhi Administration Flats, Timarpur",North Indian,200.0,3.0,206.0,56.0,30.0
"Yerawada, Pune, Maharashtra",Chinese,200.0,3.0,6.0,4.0,30.0
"Raja Bazar, Kolkata","Sandwich, Fast Food",100.0,3.0,36.0,11.0,65.0
"FTI College, Law College Road, Pune","Chinese, Rolls",150.0,3.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area","Chinese, North Indian, Pizza",200.0,3.0,112.0,36.0,30.0
Delhi Cantt.,"North Indian, Chinese, Rolls",150.0,3.0,5.0,4.0,30.0
Mumbai Central,"North Indian, Mughlai",700.0,4.0,439.0,220.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Bengali, Seafood, Beverages, Fast Food",250.0,3.0,12.0,3.0,45.0
"Sector 1, Noida","Continental, Thai, Italian, Salad",350.0,3.0,1298.0,450.0,65.0
"Jaya Nagar, Saidabad, Hyderabad","Fast Food, Healthy Food, Sandwich, Salad",200.0,3.0,254.0,22.0,30.0
Majestic,Pizza,200.0,3.0,63.0,26.0,30.0
Majestic,Biryani,150.0,3.0,16.0,1.0,30.0
"Sector 1, Noida","Chinese, Momos",200.0,4.0,238.0,172.0,45.0
"Delhi High Court, India Gate",Pizza,350.0,3.0,63.0,26.0,30.0
Pune University,"Street Food, South Indian, North Indian",100.0,2.0,144.0,70.0,45.0
"Hyderabad Public School, Begumpet",South Indian,100.0,4.0,131.0,25.0,30.0
"Chandni Chowk, Kolkata","Street Food, Mithai",50.0,3.0,63.0,26.0,30.0
"Moulali, Kolkata","Pizza, Fast Food",100.0,3.0,11.0,3.0,30.0
"Delhi High Court, India Gate","Biryani, North Indian",150.0,3.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area","Bakery, Desserts",250.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","Asian, Chinese",300.0,4.0,510.0,230.0,65.0
"Raja Bazar, Kolkata","Fast Food, North Indian, Mishti",100.0,4.0,272.0,55.0,45.0
"Sector 63A,Gurgaon",Chinese,200.0,3.0,47.0,25.0,30.0
"Rmz Centennial, I Gate, Whitefield","American, Italian",750.0,4.0,482.0,320.0,30.0
"Sandhurst Road, Mumbai CST Area","Cafe, North Indian, Healthy Food, Desserts",600.0,3.0,222.0,99.0,30.0
"FTI College, Law College Road, Pune",Fast Food,100.0,3.0,9.0,7.0,30.0
Delhi Cantt.,"Desserts, Beverages",200.0,4.0,228.0,113.0,65.0
"Sector 1, Noida",Paan,50.0,3.0,36.0,2.0,30.0
"MG Road, Pune","Fast Food, Street Food",200.0,3.0,63.0,26.0,30.0
"Nathan Road, Mangaldas Road, Pune","Desserts, Fast Food",100.0,2.0,6.0,3.0,30.0
Mumbai Central,"Bakery, Desserts",200.0,3.0,28.0,16.0,45.0
"Sandhurst Road, Mumbai CST Area","South Indian, North Indian, Chinese, Biryani",200.0,3.0,28.0,13.0,30.0
"Delhi Administration Flats, Timarpur","Burger, Fast Food",200.0,4.0,1415.0,351.0,45.0
"D-Block, Sector 63, Noida",Street Food,100.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Asian, Thai, North Indian, Chinese",450.0,4.0,429.0,279.0,30.0
Delhi University-GTB Nagar,"North Indian, Mughlai",250.0,3.0,106.0,51.0,30.0
"Panjetan Colony, Malakpet, Hyderabad","South Indian, North Indian",100.0,3.0,12.0,1.0,45.0
"Delhi High Court, India Gate","North Indian, South Indian",150.0,3.0,36.0,9.0,30.0
"Sandhurst Road, Mumbai CST Area",North Indian,150.0,4.0,1975.0,1138.0,45.0
Pune University,"Burger, Fast Food, Beverages",200.0,3.0,656.0,268.0,45.0
"Delhi Administration Flats, Timarpur","Pizza, Italian",250.0,4.0,386.0,230.0,65.0
"D-Block, Sector 63, Noida","Cafe, Chinese",200.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Biryani, Awadhi, Beverages, Desserts",150.0,3.0,63.0,26.0,30.0
"Moulali, Kolkata","Mishti, Desserts",100.0,3.0,12.0,6.0,30.0
"Gora Bazar, Rajbari, North Dumdum, Kolkata","Bakery, Desserts",150.0,4.0,112.0,73.0,30.0
Mumbai Central,"Italian, Pizza, Salad",500.0,3.0,529.0,232.0,45.0
"Rmz Centennial, I Gate, Whitefield","Beverages, Desserts, Ice Cream",200.0,3.0,74.0,44.0,45.0
"Sector 1, Noida",Street Food,100.0,4.0,456.0,126.0,45.0
Delhi University-GTB Nagar,North Indian,250.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Kerala,200.0,3.0,26.0,9.0,45.0
"Raja Bazar, Kolkata",North Indian,150.0,3.0,287.0,26.0,45.0
"Sector 14, Noida","North Indian, Chinese",150.0,3.0,16.0,10.0,65.0
"Sector 1, Noida","Bakery, Desserts",100.0,3.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida","Fast Food, Healthy Food, Beverages",150.0,4.0,173.0,98.0,45.0
"Babarpur, New Delhi, Delhi",North Indian,150.0,3.0,13.0,4.0,30.0
Mumbai Central,"Continental, Fast Food",200.0,4.0,30.0,28.0,30.0
"MG Road, Pune",Bakery,100.0,3.0,45.0,11.0,30.0
Delhi University-GTB Nagar,Bakery,50.0,3.0,15.0,3.0,120.0
"D-Block, Sector 63, Noida","Biryani, North Indian",100.0,3.0,63.0,26.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese",150.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","Desserts, Beverages",200.0,4.0,598.0,257.0,45.0
"Sector 14, Noida","Rolls, Fast Food",150.0,4.0,1265.0,497.0,30.0
"Delhi High Court, India Gate","Continental, North Indian, Desserts, Beverages",200.0,3.0,51.0,18.0,65.0
"D-Block, Sector 63, Noida","Fast Food, Chinese",200.0,3.0,31.0,7.0,30.0
"Yerawada, Pune, Maharashtra","North Indian, Continental",250.0,3.0,63.0,26.0,30.0
"Yerawada, Pune, Maharashtra","Cafe, Fast Food",300.0,3.0,95.0,53.0,45.0
"Nathan Road, Mangaldas Road, Pune","Cafe, Fast Food, Desserts, Beverages",200.0,2.0,46.0,22.0,30.0
"Delhi High Court, India Gate","Rolls, Fast Food",200.0,4.0,1334.0,767.0,65.0
"Babarpur, New Delhi, Delhi",South Indian,100.0,3.0,63.0,26.0,30.0
"Sector 63A,Gurgaon","Italian, Tex-Mex, Bakery",500.0,3.0,29.0,18.0,30.0
Delhi University-GTB Nagar,North Indian,200.0,3.0,60.0,21.0,30.0
"FTI College, Law College Road, Pune","Desserts, Beverages",200.0,3.0,9.0,2.0,30.0
Pune University,North Indian,150.0,3.0,91.0,3.0,30.0
"Delhi Administration Flats, Timarpur","North Indian, Mughlai",350.0,4.0,84.0,51.0,30.0
"Sector 3, Marathalli",North Indian,100.0,3.0,4.0,3.0,30.0
"FTI College, Law College Road, Pune","Chinese, North Indian, South Indian, Fast Food",200.0,3.0,41.0,9.0,30.0
"Sector 63A,Gurgaon","Chinese, North Indian",300.0,3.0,63.0,26.0,30.0
"Nathan Road, Mangaldas Road, Pune",Bakery,100.0,3.0,19.0,7.0,45.0
"Sector 63A,Gurgaon","Sandwich, Fast Food",200.0,3.0,25.0,23.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Chinese,100.0,3.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area","Desserts, Beverages",150.0,3.0,7.0,5.0,30.0
"Yerawada, Pune, Maharashtra","Fast Food, Chinese, North Indian, South Indian",200.0,4.0,483.0,229.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Biryani, North Indian, Mughlai, Kebab",300.0,4.0,354.0,171.0,65.0
"Sector 14, Noida","Pizza, Fast Food, Italian, Desserts, Beverages",350.0,4.0,1037.0,539.0,45.0
"MG Road, Pune","Fast Food, North Indian",100.0,3.0,63.0,26.0,30.0
"Sector 14, Noida","Italian, North Indian, Chinese",800.0,4.0,903.0,556.0,45.0
"FTI College, Law College Road, Pune","Salad, North Indian, Biryani, Desserts, Beverages, Wraps",200.0,4.0,343.0,97.0,30.0
"Sector 63A,Gurgaon","Mithai, Street Food, Bakery",150.0,3.0,46.0,16.0,65.0
"Yerawada, Pune, Maharashtra","North Indian, Chinese, Continental, Salad",550.0,4.0,2618.0,1246.0,65.0
Majestic,Fast Food,100.0,3.0,30.0,11.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Pizza, Biryani",200.0,2.0,6.0,2.0,30.0
Mumbai Central,"Cafe, Bakery",300.0,3.0,45.0,38.0,30.0
"FTI College, Law College Road, Pune","North Indian, Biryani, Kebab, BBQ",200.0,3.0,21.0,9.0,30.0
"Sector 63A,Gurgaon",Chinese,250.0,3.0,63.0,26.0,30.0
Delhi University-GTB Nagar,"Chinese, Fast Food",100.0,2.0,30.0,6.0,45.0
"Nathan Road, Mangaldas Road, Pune","North Indian, Biryani",200.0,3.0,15.0,10.0,30.0
Mumbai Central,"North Indian, Chinese, South Indian",200.0,3.0,63.0,26.0,30.0
"Tejas Nagar Colony, Wadala West, Mumbai","South Indian, North Indian, Street Food, Fast Food",150.0,3.0,69.0,36.0,30.0
"MG Road, Pune",Fast Food,100.0,4.0,237.0,96.0,30.0
"Delhi Administration Flats, Timarpur","South Indian, North Indian, Chinese",300.0,3.0,323.0,141.0,65.0
"Sector 1, Noida",Rolls,200.0,3.0,20.0,19.0,30.0
Delhi Cantt.,"North Indian, Mughlai, Chinese",350.0,3.0,87.0,69.0,45.0
Mumbai Central,"Fast Food, North Indian",200.0,3.0,11.0,2.0,30.0
"Nathan Road, Mangaldas Road, Pune","Beverages, Desserts",200.0,4.0,179.0,91.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",North Indian,200.0,3.0,49.0,21.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Chinese, Thai",300.0,3.0,120.0,65.0,65.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Bakery, Desserts",150.0,4.0,63.0,23.0,30.0
Pune University,Chinese,400.0,3.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida","North Indian, Fast Food",100.0,3.0,31.0,23.0,30.0
"FTI College, Law College Road, Pune",Fast Food,100.0,3.0,16.0,2.0,30.0
"Babarpur, New Delhi, Delhi","North Indian, South Indian, Chinese",100.0,3.0,22.0,7.0,30.0
"Sector 3, Marathalli",Rajasthani,150.0,3.0,26.0,10.0,30.0
Delhi University-GTB Nagar,"Chinese, Continental, European, Mexican, Momos",650.0,4.0,382.0,240.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Continental, Italian, Beverages",650.0,4.0,375.0,266.0,30.0
"Sector 3, Marathalli","Chinese, Thai, Continental",150.0,3.0,56.0,15.0,30.0
"D-Block, Sector 63, Noida","Pizza, Fast Food",400.0,3.0,349.0,120.0,30.0
"Sector 1, Noida",Fast Food,150.0,3.0,4.0,26.0,30.0
"Delhi High Court, India Gate","North Indian, Chinese, Fast Food",150.0,3.0,63.0,26.0,30.0
"Rmz Centennial, I Gate, Whitefield","North Indian, Gujarati",150.0,3.0,37.0,8.0,65.0
"Sector 63A,Gurgaon","Pizza, Italian",200.0,3.0,63.0,26.0,30.0
"Rmz Centennial, I Gate, Whitefield","North Indian, Chinese, Biryani",150.0,3.0,56.0,18.0,30.0
"FTI College, Law College Road, Pune",Healthy Food,250.0,3.0,112.0,63.0,30.0
"D-Block, Sector 63, Noida","Chinese, North Indian, Rolls, Momos",200.0,2.0,67.0,23.0,45.0
"Delhi Administration Flats, Timarpur",North Indian,200.0,3.0,9.0,7.0,30.0
"Sector 1, Noida","Biryani, North Indian",100.0,3.0,63.0,26.0,30.0
"Nathan Road, Mangaldas Road, Pune",Pizza,150.0,3.0,63.0,26.0,30.0
Mumbai Central,"Beverages, Desserts",150.0,3.0,81.0,22.0,30.0
"Rmz Centennial, I Gate, Whitefield","Kerala, Seafood, Chinese",300.0,3.0,394.0,141.0,65.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Juices",100.0,3.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida","North Indian, Chinese",200.0,3.0,43.0,3.0,30.0
Mumbai Central,"Lebanese, North Indian, Mediterranean, Biryani, Rolls, Fast Food",200.0,3.0,785.0,399.0,45.0
Delhi Cantt.,North Indian,100.0,3.0,63.0,26.0,30.0
Majestic,Desserts,100.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Mithai, Fast Food, Street Food",100.0,3.0,7.0,5.0,30.0
"FTI College, Law College Road, Pune","North Indian, Chinese, Fast Food",200.0,4.0,689.0,310.0,30.0
Delhi University-GTB Nagar,"North Indian, Chinese",200.0,3.0,355.0,142.0,45.0
Delhi University-GTB Nagar,"North Indian, Mughlai, Kebab",550.0,3.0,740.0,268.0,45.0
"D-Block, Sector 63, Noida","Biryani, Rolls, North Indian",200.0,3.0,7.0,4.0,30.0
Delhi University-GTB Nagar,"North Indian, Chinese, Fast Food",200.0,3.0,16.0,1.0,30.0
"Nathan Road, Mangaldas Road, Pune","Mughlai, North Indian, Biryani, Kebab",350.0,3.0,494.0,294.0,45.0
Delhi University-GTB Nagar,"Mughlai, North Indian",300.0,3.0,30.0,12.0,30.0
"Panjetan Colony, Malakpet, Hyderabad","South Indian, Beverages",100.0,3.0,18.0,7.0,30.0
"Sector 1, Noida","North Indian, Mughlai, Chinese",300.0,3.0,735.0,464.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Rolls, Chinese",100.0,3.0,18.0,6.0,30.0
"Delhi High Court, India Gate","North Indian, Biryani, Continental, Kebab, Beverages",350.0,4.0,135.0,81.0,45.0
"FTI College, Law College Road, Pune","Desserts, Paan",50.0,3.0,22.0,9.0,30.0
"D-Block, Sector 63, Noida",North Indian,150.0,3.0,5.0,26.0,30.0
"FTI College, Law College Road, Pune","Finger Food, Continental, Italian",700.0,4.0,1105.0,630.0,45.0
"Delhi Administration Flats, Timarpur","North Indian, Fast Food",200.0,3.0,21.0,8.0,30.0
"Sector 14, Noida",North Indian,100.0,3.0,66.0,15.0,45.0
Delhi Cantt.,North Indian,200.0,3.0,106.0,10.0,30.0
"Sandhurst Road, Mumbai CST Area","North Indian, Mughlai, Continental, Chinese",600.0,3.0,74.0,24.0,30.0
"Delhi Administration Flats, Timarpur","North Indian, Fast Food",200.0,3.0,248.0,36.0,65.0
Mumbai Central,Desserts,150.0,3.0,63.0,26.0,30.0
Delhi University-GTB Nagar,"North Indian, South Indian, Chinese",150.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","Mithai, Beverages",200.0,3.0,23.0,8.0,30.0
"Musi Nagar, Malakpet, Hyderabad","Cafe, Beverages, Fast Food, Desserts",250.0,3.0,158.0,44.0,65.0
"Delhi Administration Flats, Timarpur",North Indian,200.0,3.0,63.0,26.0,30.0
"Sector 3, Marathalli",Momos,150.0,3.0,63.0,26.0,30.0
"Moulali, Kolkata","North Indian, South Indian, Continental",400.0,4.0,1028.0,728.0,65.0
"Yerawada, Pune, Maharashtra","Rolls, Chinese",100.0,3.0,63.0,26.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese",150.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","Chinese, Sushi, Thai, Poké, Asian",400.0,4.0,51.0,38.0,30.0
Delhi University-GTB Nagar,"North Indian, Chinese",300.0,3.0,293.0,138.0,30.0
Mumbai Central,"Continental, Thai, Italian, Mexican, Mediterranean",750.0,4.0,3143.0,2212.0,45.0
Delhi University-GTB Nagar,"Asian, Japanese, Chinese, Thai, Malaysian, Sushi, Vietnamese",550.0,4.0,150.0,75.0,30.0
"Rmz Centennial, I Gate, Whitefield","Mughlai, Kebab, Chinese, North Indian, Arabian, BBQ, Biryani, Fast Food",250.0,3.0,33.0,11.0,30.0
"Babarpur, New Delhi, Delhi","North Indian, Chinese",200.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","North Indian, Chinese",200.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","Pizza, Fast Food, Beverages",200.0,3.0,9.0,9.0,30.0
"Delhi Administration Flats, Timarpur","North Indian, Mughlai",350.0,3.0,70.0,23.0,45.0
Pune University,"Street Food, North Indian",200.0,3.0,63.0,26.0,30.0
Delhi Cantt.,"Bakery, Desserts",100.0,3.0,13.0,2.0,30.0
"Babarpur, New Delhi, Delhi","Bakery, Desserts",150.0,3.0,54.0,17.0,30.0
"Babarpur, New Delhi, Delhi","North Indian, Chinese, Fast Food",100.0,3.0,6.0,1.0,30.0
"Sandhurst Road, Mumbai CST Area",Desserts,150.0,3.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida","Pizza, Fast Food",200.0,2.0,9.0,3.0,30.0
"Sector 1, Noida","Chinese, Rolls",150.0,3.0,63.0,26.0,30.0
"Sector 3, Marathalli","Beverages, Fast Food",200.0,3.0,113.0,37.0,65.0
"Rmz Centennial, I Gate, Whitefield","Biryani, Chinese",150.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune",Burger,100.0,4.0,614.0,222.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Continental, North Indian, Pizza, Italian",500.0,4.0,2437.0,1370.0,45.0
